year.draft,mean,max,min,se,upper.mean,lower.mean
1936,213.583333333333,233,192,3.31538729702774,220.548962044389,206.617704622278
1937,216,236,185,3.39852909359329,223.14030962564,208.85969037436
1938,212.8125,240,185,2.1224783425317,217.271826997659,208.353173002341
1939,217.022727272727,253,180,2.2746160227881,221.801695536605,212.243759008849
1940,218.166666666667,252,190,2.38464000144842,223.17679530971,213.156538023624
1941,220.863636363636,263,190,2.19902700689457,225.483792105122,216.243480622151
1942,224.527777777778,287,185,3.4598573489061,231.79693806783,217.258617487726
1943,213.310344827586,269,175,2.27817532622726,218.09679118799,208.523898467183
1944,221,270,185,2.47721322575463,226.20462498731,215.79537501269
1945,221.155555555556,255,190,2.51218355574048,226.433653206166,215.877457904945
1946,224.384615384615,261,185,3.1275829562026,230.955667175597,217.813563593634
1947,228.770833333333,265,175,2.88709521483979,234.836620379712,222.705046286955
1948,224.69696969697,263,205,2.33528794558553,229.603409670645,219.790529723294
1949,222.55,251,200,3.4408345071019,229.779193299421,215.320806700579
1950,232.483870967742,280,204,2.850719949715,238.473233582093,226.494508353391
1951,229.769230769231,251,210,2.0413477390479,234.05810236897,225.480359169491
1952,231.03125,275,211,2.12629674618163,235.498599463728,226.563900536272
1953,233.676470588235,270,200,2.90666472108083,239.783373167226,227.569568009244
1954,242.421052631579,308,220,4.38985792139353,251.644144124427,233.197961138731
1955,234.666666666667,270,210,3.01365651723363,240.998359009375,228.334974323959
1956,246,290,222,2.86197190602619,252.013002974561,239.986997025439
1957,244.916666666667,273,220,2.37202648843468,249.900294318868,239.933039014465
1958,243.210526315789,258,225,2.0527815209892,247.523420291388,238.897632340191
1959,245.36,290,226,2.78440897379198,251.210043253937,239.509956746063
1960,244.916666666667,270,230,2.09114477581777,249.31016184066,240.523171492674
1961,249.947368421053,280,220,2.12582420412163,254.413725073912,245.481011768193
1962,245.214285714286,268,220,2.05632148505204,249.53461715438,240.893954274191
1963,254.714285714286,285,235,1.92508994008068,258.758899678395,250.669671750176
1964,251.40625,285,230,2.28594027338156,256.209010514375,246.603489485625
1965,250.592592592593,275,230,2.17290965094409,255.157875769226,246.027309415959
1966,249.242424242424,270,220,1.6911256242371,252.795479178946,245.689369305902
1967,249.764705882353,274,205,2.01024950497319,253.988240092302,245.541171672404
1968,253,289,230,1.94153522572137,257.079165509241,248.920834490759
1969,252.945945945946,300,240,1.83064747810932,256.792136297454,249.099755594438
1970,253.636363636364,280,223,2.05364521709227,257.951072237474,249.321655035253
1971,255.153846153846,280,230,1.63692977381358,258.593035608628,251.714656699064
1972,253.75,275,235,1.50802526889977,256.918361089958,250.581638910042
1973,254.585365853659,275,235,1.3699633294701,257.463658808875,251.707072898442
1974,255.085714285714,280,230,1.73271605347466,258.726150714065,251.445277857364
1975,256.852941176471,279,237,1.66334732897057,260.347633914638,253.358248438303
1976,260.358974358974,277,245,1.28968040454472,263.068592888923,257.649355829026
1977,260.024390243902,280,244,1.4706427186604,263.114210595808,256.934569891997
1978,262.6,309,240,1.89324033718886,266.577697948434,258.622302051566
1979,263.806451612903,287,245,1.82598882025497,267.642854124259,259.970049101548
1980,266.74358974359,321,241,2.47598940779794,271.945643489373,261.541535997806
1981,272.314285714286,300,260,1.75746734723313,276.006724610822,268.621846817749
1982,272.864864864865,316,190,3.29417589665174,279.78592842373,265.943801306
1983,276.428571428571,305,257,1.93210628001814,280.48792672289,272.369216134253
1984,275.735294117647,302,238,2.84768061594463,281.718271091747,269.752317143547
1985,280.690476190476,310,255,1.83193001784679,284.539361157972,276.84159122298
1986,282.829268292683,318,255,1.94776370800589,286.921519843203,278.737016742163
1987,290.189189189189,325,264,2.66971611616248,295.798262749247,284.580115629132
1988,289.862068965517,315,254,2.51141440430984,295.138550628972,284.585587302062
1989,292.083333333333,331,269,2.21874231498781,296.744910937123,287.421755729544
1990,295.6,325,270,2.23426336252225,300.294187324659,290.905812675341
1991,297.96875,343,268,2.92599733996252,304.116270411261,291.821229588739
1992,300.756756756757,350,255,3.09761251795952,307.26484065699,294.248672856524
1993,308.727272727273,335,285,2.40866205445305,313.787871703679,303.666673750867
1994,306,331,284,2.51105928229738,311.275735552107,300.724264447893
1995,309.324324324324,350,280,2.10891645393808,313.755157794048,304.8934908546
1996,310.432432432432,345,279,2.68477537787437,316.073145501347,304.791719363518
1997,313.6875,350,285,2.88783512927434,319.754841606605,307.620158393395
1998,309,349,265,2.63470653406141,314.535518428063,303.464481571937
1999,317.470588235294,375,283,3.25675912912901,324.313039165594,310.628137304994
2000,311.962962962963,340,250,3.3254100196957,318.949649414344,304.976276511582
2001,311.083333333333,375,241,3.58621146872472,318.617963629124,303.548703037543
2002,312.967741935484,370,257,3.52639322607064,320.376694103458,305.558789767509
2003,311.472222222222,350,255,2.89676505699279,317.558325606964,305.38611883748
2004,310.272727272727,342,283,2.67503636596377,315.892978677617,304.652475867837
2005,316.52380952381,347,300,1.8302650161418,320.369196322723,312.678422724896
2006,315.3,355,285,2.81620767008146,321.216852314841,309.383147685159
2007,307.78125,326,282,1.75214981718312,311.462516765902,304.099983234098
2008,311.6,343,289,2.16167076883149,316.141670285315,307.058329714685
2009,309.634146341463,364,232,3.10796696500496,316.163984934939,303.104307747988
2010,312.555555555556,349,274,2.51643626963175,317.842588158052,307.268522953059
2011,309.875,363,280,2.18684514007432,314.469561639296,305.280438360704
2012,313,345,220,2.73215052012997,318.740248242793,307.259751757207
2013,310.393939393939,339,298,1.54842258073227,313.647175236058,307.140703551821
2014,311,336,280,1.74360807901099,314.663320574002,307.336679425998
2015,316.717391304348,376,290,2.65280146214592,322.290927176316,311.143855432379
